啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
中小学,zhōng xiǎoxué,Danh từ,Trường tiểu học và trung học,我的弟弟在中小学读书。,Wǒ de dìdi zài zhōng xiǎoxué dúshū,Em trai tôi học ở trường tiểu học và trung học.
中心,zhōngxīn,Danh từ,Trung tâm,这个城市的中心很热闹。,Zhège chéngshì de zhōngxīn hěn rènào,Trung tâm thành phố này rất nhộn nhịp.
中医,zhōngyī,Danh từ,Đông y,他喜欢学习中医知识。,Tā xǐhuan xuéxí zhōngyī zhīshì,Anh ấy thích học kiến thức về Đông y.
重点,zhòngdiǎn,Danh từ,Trọng điểm,请注意这个问题的重点。,Qǐng zhùyì zhège wèntí de zhòngdiǎn,Hãy chú ý đến trọng điểm của vấn đề này.
重视,zhòngshì,Động từ,Coi trọng,老师很重视学生的努力。,Lǎoshī hěn zhòngshì xuéshēng de nǔlì,Giáo viên rất coi trọng sự nỗ lực của học sinh.
周,zhōu,Danh từ,Tuần,这周我们有考试。,Zhè zhōu wǒmen yǒu kǎoshì,Tuần này chúng tôi có kỳ thi.
周末,zhōumò,Danh từ,Cuối tuần,周末我们一起去公园吧。,Zhōumò wǒmen yìqǐ qù gōngyuán ba,Cuối tuần chúng ta cùng đi công viên nhé.
周年,zhōunián,Danh từ,Kỷ niệm năm,他们庆祝结婚十周年。,Tāmen qìngzhù jiéhūn shí zhōunián,Họ kỷ niệm 10 năm ngày cưới.
主人,zhǔrén,Danh từ,Chủ nhân,狗跟着它的主人走。,Gǒu gēnzhe tā de zhǔrén zǒu,Con chó đi theo chủ nhân của nó.
主要,zhǔyào,Tính từ,Chủ yếu,北京的主要交通工具是地铁。,Běijīng de zhǔyào jiāotōng gōngjù shì dìtiě.,Phương tiện giao thông chính ở Bắc Kinh là tàu điện ngầm.
住房,zhùfáng,Danh từ,Nhà ở,这里的住房很贵。,Zhèli de zhùfáng hěn guì,Nhà ở đây rất đắt.
住院,zhùyuàn,Động từ,Nhập viện,他生病了需要住院。,Tā shēngbìng le xūyào zhùyuàn,Anh ấy bị bệnh nên cần nhập viện.
装,zhuāng,Động từ,"Lắp đặt, giả vờ",他在装电脑软件。,Tā zài zhuāng diànnǎo ruǎnjiàn,Anh ấy đang cài đặt phần mềm máy tính.
准确,zhǔnquè,Tính từ,Chính xác,你的答案很准确。,Nǐ de dá’àn hěn zhǔnquè,Câu trả lời của bạn rất chính xác.
自己,zìjǐ,Đại từ,Bản thân,我可以自己完成作业。,Wǒ kěyǐ zìjǐ wánchéng zuòyè,Tôi có thể tự mình hoàn thành bài tập.
自行车,zìxíngchē,Danh từ,Xe đạp,我每天骑自行车上学。,Wǒ měitiān qí zìxíngchē shàngxué,Tôi đi xe đạp đến trường mỗi ngày.
自由,zìyóu,Tính từ,Tự do,这里的人很自由。,Zhèli de rén hěn zìyóu,Người ở đây rất tự do.
字典,zìdiǎn,Danh từ,Từ điển,我买了一本新字典。,Wǒ mǎi le yì běn xīn zìdiǎn,Tôi đã mua một cuốn từ điển mới.
走过,zǒuguò,Động từ,Đi qua,他走过那家商店。,Tā zǒuguò nà jiā shāngdiàn,Anh ấy đi qua cửa hàng đó.
走进,zǒujìn,Động từ,Đi vào,他慢慢地走进房间。,Tā mànman de zǒujìn fángjiān,Anh ấy chậm rãi đi vào phòng.
走开,zǒukāi,Động từ,Đi ra xa,请你走开一下。,Qǐng nǐ zǒukāi yíxià,Bạn vui lòng đi ra một chút.
租,zū,Động từ,Thuê,我租了一间房子。,Wǒ zū le yì jiān fángzi,Tôi đã thuê một căn phòng.
组,zǔ,Danh từ,"Nhóm, tổ",我们被分成了三组。,Wǒmen bèi fēnchéng le sān zǔ,Chúng tôi được chia thành ba nhóm.
组成,zǔchéng,Động từ,"Cấu thành, tạo thành",这个团队由五个人组成。,Zhège tuánduì yóu wǔ ge rén zǔchéng,Nhóm này được cấu thành bởi 5 người.
组长,zǔzhǎng,Danh từ,Tổ trưởng,他是我们班的组长。,Tā shì wǒmen bān de zǔzhǎng,Anh ấy là tổ trưởng lớp chúng tôi.
嘴,zuǐ,Danh từ,Miệng,他的嘴很大。,Tā de zuǐ hěn dà,Miệng của anh ấy rất to.
最近,zuìjìn,Tính từ,Gần đây,最近天气很冷。,Zuìjìn tiānqì hěn lěng,Gần đây thời tiết rất lạnh.
作家,zuòjiā,Danh từ,Nhà văn,他是一位有名的作家。,Tā shì yí wèi yǒumíng de zuòjiā,Anh ấy là một nhà văn nổi tiếng.
作文,zuòwén,Danh từ,Bài văn,今天的作文很难写。,Jīntiān de zuòwén hěn nán xiě,Bài văn hôm nay rất khó viết. 
作业,zuòyè,Danh từ,Bài tập,今天的作业很多。,Jīntiān de zuòyè hěn duō,Hôm nay có rất nhiều bài tập.
作用,zuòyòng,Danh từ,"Tác dụng, ảnh hưởng",水对生命有很重要的作用。,Shuǐ duì shēngmìng yǒu hěn zhòngyào de zuòyòng.,Nước có vai trò rất quan trọng đối với sự sống.
座,zuò,Lượng từ,"Tòa (dùng cho núi, cầu, công trình lớn)",这座山非常高。,Zhè zuò shān fēicháng gāo,Ngọn núi này rất cao.
座位,zuòwèi,Danh từ,Chỗ ngồi,请找到你的座位。,Qǐng zhǎodào nǐ de zuòwèi,Vui lòng tìm chỗ ngồi của bạn.
做到,zuòdào,Động từ,Làm được,只要努力，你一定可以做到。,"Zhǐyào nǔlì, nǐ yídìng kěyǐ zuòdào","Chỉ cần cố gắng, bạn chắc chắn có thể làm được."
做法,zuòfǎ,Danh từ,"Cách làm, phương pháp",这种做法很有效。,Zhè zhǒng zuòfǎ hěn yǒuxiào,Cách làm này rất hiệu quả.
做饭,zuòfàn,Động từ,Nấu ăn,妈妈每天做饭给我们吃。,Māma měitiān zuòfàn gěi wǒmen chī,Mẹ nấu ăn cho chúng tôi mỗi ngày.
